Id,Question,Answer
57,What is the interest rate of the account?,8.85
58,What is the interest rate of the account?,15.21
59,What is the interest rate of the account?,12.43
60,What is the interest rate of the account?,9.49
61,What is the interest rate of the account?,12.81
62,What is the interest rate of the account?,12.58
63,What is the interest rate of the account?,9.37
64,What is the interest rate of the account?,14.85
65,What is the interest rate of the account?,10.14
66,What is the interest rate of the account?,12.62
67,What is the interest rate of the account?,18.41
68,What is the interest rate of the account?,8.47
69,What is the interest rate of the account?,16.16
70,What is the interest rate of the account?,14.41
71,What is the interest rate of the account?,12.77
72,What is the interest rate of the account?,11.66
73,What is the interest rate of the account?,13.7
74,What is the interest rate of the account?,14.88
75,What is the interest rate of the account?,12.66
76,What is the interest rate of the account?,12.83
77,What is the interest rate of the account?,11.4
78,What is the interest rate of the account?,16.91
79,What is the interest rate of the account?,12.98
80,What is the interest rate of the account?,9.51
81,What is the interest rate of the account?,17.82
82,What is the interest rate of the account?,12.46
83,What is the interest rate of the account?,17.13
84,What is the interest rate of the account?,16.02
85,What is the interest rate of the account?,16.5
86,What is the interest rate of the account?,12.39
87,What is the interest rate of the account?,12.6
88,What is the interest rate of the account?,14.51
89,What is the interest rate of the account?,8.13
90,What is the interest rate of the account?,15.41
91,What is the interest rate of the account?,18.35
92,What is the interest rate of the account?,10.04
93,What is the interest rate of the account?,15.17
94,What is the interest rate of the account?,10.58
95,What is the interest rate of the account?,12.85
96,What is the interest rate of the account?,9.85
97,What is the interest rate of the account?,17.66
98,What is the interest rate of the account?,9.32
99,What is the interest rate of the account?,13.76
100,What is the interest rate of the account?,10.26
101,What is the interest rate of the account?,15
102,What is the interest rate of the account?,10.23
103,What is the interest rate of the account?,10.32
104,What is the interest rate of the account?,17.22
105,What is the interest rate of the account?,12.08
106,What is the interest rate of the account?,16.04
107,What is the interest rate of the account?,14.81
108,What is the interest rate of the account?,12.42
109,What is the interest rate of the account?,9.67
110,What is the interest rate of the account?,11.38
111,What is the interest rate of the account?,11.91
112,What is the interest rate of the account?,8.63
113,What is the interest rate of the account?,14.35
114,What is the interest rate of the account?,12.14
115,What is the interest rate of the account?,13.35
116,What is the interest rate of the account?,17.6
117,What is the interest rate of the account?,10.83
118,What is the interest rate of the account?,17.46
119,What is the interest rate of the account?,11.01
120,What is the interest rate of the account?,18.63
121,What is the interest rate of the account?,10.76
122,What is the interest rate of the account?,9.85
123,What is the interest rate of the account?,11.26
124,What is the interest rate of the account?,10.04
125,What is the interest rate of the account?,9.73
126,What is the interest rate of the account?,8.62
127,What is the interest rate of the account?,15.17
128,What is the interest rate of the account?,14.65
129,What is the interest rate of the account?,16.64
130,What is the interest rate of the account?,10.37
131,What is the interest rate of the account?,10.61
132,What is the interest rate of the account?,10.59
133,What is the interest rate of the account?,16.95
134,What is the interest rate of the account?,13.65
135,What is the interest rate of the account?,10.52
136,What is the interest rate of the account?,12.6
137,What is the interest rate of the account?,16.72
138,What is the interest rate of the account?,13.41
139,What is the interest rate of the account?,17.76
140,What is the interest rate of the account?,15.19
141,What is the interest rate of the account?,13.48
142,What is the interest rate of the account?,12.11
143,What is the interest rate of the account?,17.67
144,What is the interest rate of the account?,9.62
145,What is the interest rate of the account?,13.2
146,What is the interest rate of the account?,12.77
147,What is the interest rate of the account?,11.08
148,What is the interest rate of the account?,10.46
149,What is the interest rate of the account?,16.71
150,What is the interest rate of the account?,12.27
1,What is the Annual Percentage Rate (APR) for cash advances?,18.28
2,What is the Annual Percentage Rate (APR) for cash advances?,16.4
3,What is the Annual Percentage Rate (APR) for cash advances?,15.07
4,What is the Annual Percentage Rate (APR) for cash advances?,15.38
5,What is the Annual Percentage Rate (APR) for cash advances?,17.5
6,What is the Annual Percentage Rate (APR) for cash advances?,22.72
7,What is the Annual Percentage Rate (APR) for cash advances?,21.31
8,What is the Annual Percentage Rate (APR) for cash advances?,20.1
9,What is the Annual Percentage Rate (APR) for cash advances?,15.55
10,What is the Annual Percentage Rate (APR) for cash advances?,21.61
11,What is the Annual Percentage Rate (APR) for cash advances?,15.89
12,What is the Annual Percentage Rate (APR) for cash advances?,19.47
13,What is the Annual Percentage Rate (APR) for cash advances?,20.54
14,What is the Annual Percentage Rate (APR) for cash advances?,22.82
15,What is the Annual Percentage Rate (APR) for cash advances?,15.78
16,What is the Annual Percentage Rate (APR) for cash advances?,21.61
17,What is the Annual Percentage Rate (APR) for cash advances?,16.72
18,What is the Annual Percentage Rate (APR) for cash advances?,21.08
19,What is the Annual Percentage Rate (APR) for cash advances?,18.33
20,What is the Annual Percentage Rate (APR) for cash advances?,15.45
21,What is the Annual Percentage Rate (APR) for cash advances?,19.73
22,What is the Annual Percentage Rate (APR) for cash advances?,22.08
23,What is the Annual Percentage Rate (APR) for cash advances?,16.56
24,What is the Annual Percentage Rate (APR) for cash advances?,16
25,What is the Annual Percentage Rate (APR) for cash advances?,19.72
26,What is the Annual Percentage Rate (APR) for cash advances?,15.89
27,What is the Annual Percentage Rate (APR) for cash advances?,15.56
28,What is the Annual Percentage Rate (APR) for cash advances?,21.3
29,What is the Annual Percentage Rate (APR) for cash advances?,20.13
30,What is the Annual Percentage Rate (APR) for cash advances?,17.95
31,What is the Annual Percentage Rate (APR) for cash advances?,17.19
32,What is the Annual Percentage Rate (APR) for cash advances?,17.27
33,What is the Annual Percentage Rate (APR) for cash advances?,15.35
34,What is the Annual Percentage Rate (APR) for cash advances?,16.43
35,What is the Annual Percentage Rate (APR) for cash advances?,21.05
36,What is the Annual Percentage Rate (APR) for cash advances?,19.39
37,What is the Annual Percentage Rate (APR) for cash advances?,15.06
38,What is the Annual Percentage Rate (APR) for cash advances?,15.48
39,What is the Annual Percentage Rate (APR) for cash advances?,17.5
40,What is the Annual Percentage Rate (APR) for cash advances?,16.28
41,What is the Annual Percentage Rate (APR) for cash advances?,17.71
42,What is the Annual Percentage Rate (APR) for cash advances?,17.27
43,What is the Annual Percentage Rate (APR) for cash advances?,20.23
44,What is the Annual Percentage Rate (APR) for cash advances?,22.91
45,What is the Annual Percentage Rate (APR) for cash advances?,21.3
46,What is the Annual Percentage Rate (APR) for cash advances?,22.48
47,What is the Annual Percentage Rate (APR) for cash advances?,18.29
48,What is the Annual Percentage Rate (APR) for cash advances?,18.3
49,What is the Annual Percentage Rate (APR) for cash advances?,19.48
50,What is the Annual Percentage Rate (APR) for cash advances?,15.94
51,What is the Annual Percentage Rate (APR) for cash advances?,16.32
52,What is the Annual Percentage Rate (APR) for cash advances?,21.49
53,What is the Annual Percentage Rate (APR) for cash advances?,16.07
54,What is the Annual Percentage Rate (APR) for cash advances?,20.7
55,What is the Annual Percentage Rate (APR) for cash advances?,21.62
56,What is the Annual Percentage Rate (APR) for cash advances?,15.92
57,What is the Annual Percentage Rate (APR) for cash advances?,20.89
58,What is the Annual Percentage Rate (APR) for cash advances?,19.05
59,What is the Annual Percentage Rate (APR) for cash advances?,16.93
60,What is the Annual Percentage Rate (APR) for cash advances?,20.62
61,What is the Annual Percentage Rate (APR) for cash advances?,18.14
62,What is the Annual Percentage Rate (APR) for cash advances?,22.15
63,What is the Annual Percentage Rate (APR) for cash advances?,17.61
64,What is the Annual Percentage Rate (APR) for cash advances?,16.25
65,What is the Annual Percentage Rate (APR) for cash advances?,22.12
66,What is the Annual Percentage Rate (APR) for cash advances?,17.7
67,What is the Annual Percentage Rate (APR) for cash advances?,19.62
68,What is the Annual Percentage Rate (APR) for cash advances?,17.48
69,What is the Annual Percentage Rate (APR) for cash advances?,22.48
70,What is the Annual Percentage Rate (APR) for cash advances?,19.25
71,What is the Annual Percentage Rate (APR) for cash advances?,22.12
72,What is the Annual Percentage Rate (APR) for cash advances?,21.78
73,What is the Annual Percentage Rate (APR) for cash advances?,18.35
74,What is the Annual Percentage Rate (APR) for cash advances?,15.3
75,What is the Annual Percentage Rate (APR) for cash advances?,17.62
76,What is the Annual Percentage Rate (APR) for cash advances?,20.72
77,What is the Annual Percentage Rate (APR) for cash advances?,18.59
78,What is the Annual Percentage Rate (APR) for cash advances?,19.02
79,What is the Annual Percentage Rate (APR) for cash advances?,20.08
80,What is the Annual Percentage Rate (APR) for cash advances?,19.49
81,What is the Annual Percentage Rate (APR) for cash advances?,22.42
82,What is the Annual Percentage Rate (APR) for cash advances?,20.13
83,What is the Annual Percentage Rate (APR) for cash advances?,19.78
84,What is the Annual Percentage Rate (APR) for cash advances?,17.95
85,What is the Annual Percentage Rate (APR) for cash advances?,19.46
86,What is the Annual Percentage Rate (APR) for cash advances?,22.15
87,What is the Annual Percentage Rate (APR) for cash advances?,15.46
88,What is the Annual Percentage Rate (APR) for cash advances?,19.53
89,What is the Annual Percentage Rate (APR) for cash advances?,19.75
90,What is the Annual Percentage Rate (APR) for cash advances?,20.45
91,What is the Annual Percentage Rate (APR) for cash advances?,16.4
92,What is the Annual Percentage Rate (APR) for cash advances?,19.32
93,What is the Annual Percentage Rate (APR) for cash advances?,20.23
94,What is the Annual Percentage Rate (APR) for cash advances?,17.56
95,What is the Annual Percentage Rate (APR) for cash advances?,15.75
96,What is the Annual Percentage Rate (APR) for cash advances?,16.42
97,What is the Annual Percentage Rate (APR) for cash advances?,16.5
98,What is the Annual Percentage Rate (APR) for cash advances?,20.7
99,What is the Annual Percentage Rate (APR) for cash advances?,22.92
100,What is the Annual Percentage Rate (APR) for cash advances?,20.64
101,What is the Annual Percentage Rate (APR) for cash advances?,16.41
102,What is the Annual Percentage Rate (APR) for cash advances?,16.63
103,What is the Annual Percentage Rate (APR) for cash advances?,15.65
104,What is the Annual Percentage Rate (APR) for cash advances?,20.21
105,What is the Annual Percentage Rate (APR) for cash advances?,19.49
106,What is the Annual Percentage Rate (APR) for cash advances?,18.46
107,What is the Annual Percentage Rate (APR) for cash advances?,20.18
108,What is the Annual Percentage Rate (APR) for cash advances?,18.95
109,What is the Annual Percentage Rate (APR) for cash advances?,22.93
110,What is the Annual Percentage Rate (APR) for cash advances?,19.43
111,What is the Annual Percentage Rate (APR) for cash advances?,21.16
112,What is the Annual Percentage Rate (APR) for cash advances?,20.04
113,What is the Annual Percentage Rate (APR) for cash advances?,16.18
114,What is the Annual Percentage Rate (APR) for cash advances?,16.57
115,What is the Annual Percentage Rate (APR) for cash advances?,21.77
116,What is the Annual Percentage Rate (APR) for cash advances?,18.79
117,What is the Annual Percentage Rate (APR) for cash advances?,22.33
118,What is the Annual Percentage Rate (APR) for cash advances?,19.51
119,What is the Annual Percentage Rate (APR) for cash advances?,21.71
120,What is the Annual Percentage Rate (APR) for cash advances?,16.87
121,What is the Annual Percentage Rate (APR) for cash advances?,20.31
122,What is the Annual Percentage Rate (APR) for cash advances?,15.48
123,What is the Annual Percentage Rate (APR) for cash advances?,17.83
124,What is the Annual Percentage Rate (APR) for cash advances?,17.4
125,What is the Annual Percentage Rate (APR) for cash advances?,21.04
126,What is the Annual Percentage Rate (APR) for cash advances?,16.64
127,What is the Annual Percentage Rate (APR) for cash advances?,20.94
128,What is the Annual Percentage Rate (APR) for cash advances?,21.55
129,What is the Annual Percentage Rate (APR) for cash advances?,20.09
130,What is the Annual Percentage Rate (APR) for cash advances?,15.43
131,What is the Annual Percentage Rate (APR) for cash advances?,16.45
132,What is the Annual Percentage Rate (APR) for cash advances?,18.66
133,What is the Annual Percentage Rate (APR) for cash advances?,21.61
134,What is the Annual Percentage Rate (APR) for cash advances?,15.6
135,What is the Annual Percentage Rate (APR) for cash advances?,19.78
136,What is the Annual Percentage Rate (APR) for cash advances?,16.43
137,What is the Annual Percentage Rate (APR) for cash advances?,15.04
138,What is the Annual Percentage Rate (APR) for cash advances?,20.8
139,What is the Annual Percentage Rate (APR) for cash advances?,16.68
140,What is the Annual Percentage Rate (APR) for cash advances?,21.14
141,What is the Annual Percentage Rate (APR) for cash advances?,21.31
142,What is the Annual Percentage Rate (APR) for cash advances?,17.89
143,What is the Annual Percentage Rate (APR) for cash advances?,20.38
144,What is the Annual Percentage Rate (APR) for cash advances?,17.13
145,What is the Annual Percentage Rate (APR) for cash advances?,19.56
146,What is the Annual Percentage Rate (APR) for cash advances?,17.63
147,What is the Annual Percentage Rate (APR) for cash advances?,20.89
148,What is the Annual Percentage Rate (APR) for cash advances?,17.89
149,What is the Annual Percentage Rate (APR) for cash advances?,17.12
150,What is the Annual Percentage Rate (APR) for cash advances?,21.73
1,"What is the minimum payment required each month?
",3% or $10
2,"What is the minimum payment required each month?
",2% or $20
3,"What is the minimum payment required each month?
",1% or $10
4,"What is the minimum payment required each month?
",2% or $30
5,"What is the minimum payment required each month?
",1% or $30
6,"What is the minimum payment required each month?
",3% or $25
7,"What is the minimum payment required each month?
",3% or $30
8,"What is the minimum payment required each month?
",1% or $20
9,"What is the minimum payment required each month?
",2% or $25
10,"What is the minimum payment required each month?
",1% or $10
11,"What is the minimum payment required each month?
",3% or $30
12,"What is the minimum payment required each month?
",1% or $25
13,"What is the minimum payment required each month?
",2% or $25
14,"What is the minimum payment required each month?
",3% or $10
15,"What is the minimum payment required each month?
",2% or $20
16,"What is the minimum payment required each month?
",1% or $10
17,"What is the minimum payment required each month?
",1% or $10
18,"What is the minimum payment required each month?
",3% or $30
19,"What is the minimum payment required each month?
",3% or $30
20,"What is the minimum payment required each month?
",2% or $20
21,"What is the minimum payment required each month?
",3% or $25
22,"What is the minimum payment required each month?
",3% or $10
23,"What is the minimum payment required each month?
",2% or $25
24,"What is the minimum payment required each month?
",1% or $10
25,"What is the minimum payment required each month?
",2% or $20
26,"What is the minimum payment required each month?
",2% or $20
27,"What is the minimum payment required each month?
",3% or $10
28,"What is the minimum payment required each month?
",3% or $25
29,"What is the minimum payment required each month?
",3% or $10
30,"What is the minimum payment required each month?
",3% or $30
31,"What is the minimum payment required each month?
",3% or $20
32,"What is the minimum payment required each month?
",3% or $30
33,"What is the minimum payment required each month?
",2% or $25
34,"What is the minimum payment required each month?
",1% or $30
35,"What is the minimum payment required each month?
",1% or $25
36,"What is the minimum payment required each month?
",1% or $30
37,"What is the minimum payment required each month?
",3% or $20
38,"What is the minimum payment required each month?
",3% or $30
39,"What is the minimum payment required each month?
",2% or $20
40,"What is the minimum payment required each month?
",3% or $30
41,"What is the minimum payment required each month?
",3% or $30
42,"What is the minimum payment required each month?
",3% or $10
43,"What is the minimum payment required each month?
",1% or $25
44,"What is the minimum payment required each month?
",1% or $20
45,"What is the minimum payment required each month?
",1% or $30
46,"What is the minimum payment required each month?
",3% or $25
47,"What is the minimum payment required each month?
",1% or $30
48,"What is the minimum payment required each month?
",3% or $25
49,"What is the minimum payment required each month?
",1% or $25
50,"What is the minimum payment required each month?
",1% or $30
51,"What is the minimum payment required each month?
",3% or $10
52,"What is the minimum payment required each month?
",2% or $10
53,"What is the minimum payment required each month?
",3% or $30
54,"What is the minimum payment required each month?
",1% or $20
55,"What is the minimum payment required each month?
",1% or $30
56,"What is the minimum payment required each month?
",3% or $20
57,"What is the minimum payment required each month?
",2% or $30
58,"What is the minimum payment required each month?
",3% or $10
59,"What is the minimum payment required each month?
",3% or $30
60,"What is the minimum payment required each month?
",1% or $10
61,"What is the minimum payment required each month?
",2% or $25
62,"What is the minimum payment required each month?
",2% or $10
63,"What is the minimum payment required each month?
",2% or $25
64,"What is the minimum payment required each month?
",1% or $25
65,"What is the minimum payment required each month?
",2% or $30
66,"What is the minimum payment required each month?
",1% or $30
67,"What is the minimum payment required each month?
",3% or $30
68,"What is the minimum payment required each month?
",2% or $30
69,"What is the minimum payment required each month?
",3% or $25
70,"What is the minimum payment required each month?
",3% or $10
71,"What is the minimum payment required each month?
",1% or $25
72,"What is the minimum payment required each month?
",3% or $10
73,"What is the minimum payment required each month?
",1% or $10
74,"What is the minimum payment required each month?
",1% or $25
75,"What is the minimum payment required each month?
",3% or $30
76,"What is the minimum payment required each month?
",2% or $25
77,"What is the minimum payment required each month?
",3% or $20
78,"What is the minimum payment required each month?
",1% or $30
79,"What is the minimum payment required each month?
",3% or $25
80,"What is the minimum payment required each month?
",3% or $10
81,"What is the minimum payment required each month?
",2% or $10
82,"What is the minimum payment required each month?
",2% or $10
83,"What is the minimum payment required each month?
",3% or $20
84,"What is the minimum payment required each month?
",2% or $25
85,"What is the minimum payment required each month?
",1% or $10
86,"What is the minimum payment required each month?
",2% or $10
87,"What is the minimum payment required each month?
",2% or $20
88,"What is the minimum payment required each month?
",1% or $30
89,"What is the minimum payment required each month?
",1% or $30
90,"What is the minimum payment required each month?
",3% or $20
91,"What is the minimum payment required each month?
",3% or $20
92,"What is the minimum payment required each month?
",1% or $10
93,"What is the minimum payment required each month?
",3% or $20
94,"What is the minimum payment required each month?
",3% or $10
95,"What is the minimum payment required each month?
",1% or $25
96,"What is the minimum payment required each month?
",3% or $30
97,"What is the minimum payment required each month?
",1% or $30
98,"What is the minimum payment required each month?
",3% or $25
99,"What is the minimum payment required each month?
",1% or $25
100,"What is the minimum payment required each month?
",3% or $20
101,"What is the minimum payment required each month?
",2% or $30
102,"What is the minimum payment required each month?
",3% or $30
103,"What is the minimum payment required each month?
",3% or $30
104,"What is the minimum payment required each month?
",1% or $25
105,"What is the minimum payment required each month?
",3% or $30
106,"What is the minimum payment required each month?
",1% or $30
107,"What is the minimum payment required each month?
",1% or $30
108,"What is the minimum payment required each month?
",2% or $10
109,"What is the minimum payment required each month?
",2% or $20
110,"What is the minimum payment required each month?
",1% or $10
111,"What is the minimum payment required each month?
",3% or $10
112,"What is the minimum payment required each month?
",2% or $10
113,"What is the minimum payment required each month?
",3% or $30
114,"What is the minimum payment required each month?
",2% or $20
115,"What is the minimum payment required each month?
",3% or $30
116,"What is the minimum payment required each month?
",3% or $30
117,"What is the minimum payment required each month?
",3% or $30
118,"What is the minimum payment required each month?
",1% or $25
119,"What is the minimum payment required each month?
",3% or $10
120,"What is the minimum payment required each month?
",1% or $20
121,"What is the minimum payment required each month?
",2% or $25
122,"What is the minimum payment required each month?
",1% or $25
123,"What is the minimum payment required each month?
",2% or $30
124,"What is the minimum payment required each month?
",2% or $25
125,"What is the minimum payment required each month?
",2% or $25
